medcodeid,term
7813691000006118,"Seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome"
7779101000006113,X-linked intellectual disability Shashi type
7810451000006116,"Aniridia, ptosis, intellectual disability, familial obesity syndrome"
7779171000006119,X-linked intellectual disability Shrimpton type
8434111000006112,Learning Disability and Communication TOM (Therapy Outcome Measure) wellbeing score
12178711000006112,Hyperphosphatasaemia with intellectual disability
7728711000006118,"Wilms tumour, aniridia, genitourinary anomalies and mental retardation syndrome"
1840501000006110,Special educational needs - moderate learning difficulties
12031251000006116,HIVEP2-related intellectual disability
8367631000006118,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3E - others
8367681000006117,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 12 score - physical problems
2740351000000111,Severe mental retardation with significant impairment of behaviour
7806491000006110,"CHIME (coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability, ear anomaly) syndrome"
12359581000006111,Progressive epilepsy-intellectual disability syndrome Finnish type
3493681000006118,Moderate learning disability
1009611000006113,Cause of learning disabilities: Microcephaly
8368101000006119,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3A score - behaviour destructive to property
3354711000006119,Spastic amaurotic axonal idiocy
7780371000006117,X-linked intellectual disability Miles Carpenter type
1177021000000114,Learning disabilities annual health check declined
8367701000006119,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 14 score - activities of daily living at home
5606351000006116,Alpha thalassaemia-mental retardation syndrome
2740401000000117,Moderate mental retardation with minimal impairment of behaviour
12004001000006117,"Ichthyosis, alopecia, eclabion, ectropion, intellectual disability syndrome"
8337591000006110,Significant intellectual disability
7730461000006111,Assessment using AAMR ABS (American Association on Mental Retardation Adaptive Behaviour Scale)
7574901000006110,CASK related intellectual disability
7810281000006113,"Alopecia, psychomotor epilepsy, periodontal pyorrhoea, intellectual disability syndrome"
