medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
907741000006115,[RFC] Specific learning problems,HNG0250,,907741000006104,907741000006115,,12
7742941000006115,Assessment using Graded Word Spelling Test,^ESCTAS774294,,716136009,3304857012,,31
7462261000006113,Finger spelling training device,^ESCTFI746226,,469336007,2935415011,,31
133581000006116,Specific spelling disorder,E2F03,E2F0300,268738002,401908016,,32
427321000006118,[X]Specific spelling disorder,Eu811,Eu81100,268738002,401908016,,32
7798861000006117,Graded Word Spelling Test score,^ESCTGR779886,,720209008,3319772014,,31
7741331000006115,Assessment using Schonell Graded Spelling Test,^ESCTAS774133,,716036007,3304540015,,31
5548541000006114,BAS - British ability scales spelling test,^ESCTBA554854,,273338003,408684010,,31
5548531000006116,British ability scales spelling test,^ESCTBR554853,,273338003,408685011,,31
7804151000006118,Schonell Graded Spelling Test score,^ESCTSC780415,,720481007,3320977018,,31
