"MedCodeID","Term","QOFClusterID","QOFClusterDesc","QOFSnomedCTConceptId","SnomedCTDescriptionId","QOFUnmatchedCodeDescription"
,,"CAN_COD","Codes for relevant malignancies","94322006",,"Secondary malignant neoplasm of hamate bone"
,,"CAN_COD","Codes for relevant malignancies","94302007",,"Secondary malignant neoplasm of first cuneiform bone of foot"
,,"CAN_COD","Codes for relevant malignancies","94301000",,"Secondary malignant neoplasm of fibula"
,,"CAN_COD","Codes for relevant malignancies","94300004",,"Secondary malignant neoplasm of femur"
,,"CAN_COD","Codes for relevant malignancies","94299007",,"Secondary malignant neoplasm of femoral lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94298004",,"Secondary malignant neoplasm of female genital organ"
,,"CAN_COD","Codes for relevant malignancies","94287000",,"Secondary malignant neoplasm of ethmoid bone"
,,"CAN_COD","Codes for relevant malignancies","94304008",,"Secondary malignant neoplasm of floor of mouth"
,,"CAN_COD","Codes for relevant malignancies","94289002",,"Secondary malignant neoplasm of eustachian tube"
,,"CAN_COD","Codes for relevant malignancies","94305009",,"Secondary malignant neoplasm of foot"
,,"CAN_COD","Codes for relevant malignancies","94213007",,"Secondary malignant neoplasm of body of penis"
,,"CAN_COD","Codes for relevant malignancies","94296000",,"Secondary malignant neoplasm of false vocal cord"
,,"CAN_COD","Codes for relevant malignancies","94295001",,"Secondary malignant neoplasm of fallopian tube"
,,"CAN_COD","Codes for relevant malignancies","94294002",,"Secondary malignant neoplasm of facial nerve"
,,"CAN_COD","Codes for relevant malignancies","94293008",,"Secondary malignant neoplasm of face"
,,"CAN_COD","Codes for relevant malignancies","94292003",,"Secondary malignant neoplasm of eye"
,,"CAN_COD","Codes for relevant malignancies","94291005",,"Secondary malignant neoplasm of extrahepatic bile ducts"
,,"CAN_COD","Codes for relevant malignancies","94288005",,"Secondary malignant neoplasm of ethmoidal sinus"
,,"CAN_COD","Codes for relevant malignancies","94212002",,"Secondary malignant neoplasm of body of pancreas"
,,"CAN_COD","Codes for relevant malignancies","94319009",,"Secondary malignant neoplasm of great vessels"
,,"CAN_COD","Codes for relevant malignancies","94318001",,"Secondary malignant neoplasm of glottis"
,,"CAN_COD","Codes for relevant malignancies","94317006",,"Secondary malignant neoplasm of glossopharyngeal nerve"
,,"CAN_COD","Codes for relevant malignancies","94316002",,"Secondary malignant neoplasm of glomus jugulare"
,,"CAN_COD","Codes for relevant malignancies","94315003",,"Secondary malignant neoplasm of glans penis"
,,"CAN_COD","Codes for relevant malignancies","94314004",,"Secondary malignant neoplasm of gingival mucosa"
,,"CAN_COD","Codes for relevant malignancies","94284007",,"Secondary malignant neoplasm of epiglottis"
,,"CAN_COD","Codes for relevant malignancies","94303002",,"Secondary malignant neoplasm of flank"
,,"CAN_COD","Codes for relevant malignancies","94286009",,"Secondary malignant neoplasm of esophagus"
,,"CAN_COD","Codes for relevant malignancies","94267001",,"Secondary malignant neoplasm of craniopharyngeal duct"
,,"CAN_COD","Codes for relevant malignancies","94312000",,"Secondary malignant neoplasm of gallbladder"
,,"CAN_COD","Codes for relevant malignancies","94311007",,"Secondary malignant neoplasm of fundus of stomach"
,,"CAN_COD","Codes for relevant malignancies","94310008",,"Secondary malignant neoplasm of frontal sinus"
,,"CAN_COD","Codes for relevant malignancies","94309003",,"Secondary malignant neoplasm of frontal lobe"
,,"CAN_COD","Codes for relevant malignancies","94308006",,"Secondary malignant neoplasm of frontal bone"
,,"CAN_COD","Codes for relevant malignancies","94307001",,"Secondary malignant neoplasm of prepuce"
,,"CAN_COD","Codes for relevant malignancies","94306005",,"Secondary malignant neoplasm of forearm"
,,"CAN_COD","Codes for relevant malignancies","94285008",,"Secondary malignant neoplasm of epitrochlear lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94247005",,"Secondary malignant neoplasm of cerebral ventricle"
,,"CAN_COD","Codes for relevant malignancies","94269003",,"Secondary malignant neoplasm of cuboid"
,,"CAN_COD","Codes for relevant malignancies","94388008",,"Secondary malignant neoplasm of lower third of esophagus"
,,"CAN_COD","Codes for relevant malignancies","94387003",,"Secondary malignant neoplasm of lower outer quadrant of female breast"
,,"CAN_COD","Codes for relevant malignancies","94386007",,"Secondary malignant neoplasm of lower limb"
,,"CAN_COD","Codes for relevant malignancies","94385006",,"Secondary malignant neoplasm of lower inner quadrant of female breast"
,,"CAN_COD","Codes for relevant malignancies","94384005",,"Secondary malignant neoplasm of lower gum"
,,"CAN_COD","Codes for relevant malignancies","94383004",,"Secondary malignant neoplasm of long bone of upper limb"
,,"CAN_COD","Codes for relevant malignancies","94390009",,"Secondary malignant neoplasm of lunate bone"
,,"CAN_COD","Codes for relevant malignancies","94246001",,"Secondary malignant neoplasm of cerebral meninges"
,,"CAN_COD","Codes for relevant malignancies","94208008",,"Secondary malignant neoplasm of blood vessel of toe"
,,"CAN_COD","Codes for relevant malignancies","94214001",,"Secondary malignant neoplasm of body of stomach"
,,"CAN_COD","Codes for relevant malignancies","94249008",,"Secondary malignant neoplasm of cervical esophagus"
,,"CAN_COD","Codes for relevant malignancies","94250008",,"Secondary malignant neoplasm of cervical vertebral column"
,,"CAN_COD","Codes for relevant malignancies","94252000",,"Secondary malignant neoplasm of cheek"
,,"CAN_COD","Codes for relevant malignancies","94209000",,"Secondary malignant neoplasm of blood vessel of trunk"
,,"CAN_COD","Codes for relevant malignancies","94210005",,"Secondary malignant neoplasm of blood vessel of upper limb"
,,"CAN_COD","Codes for relevant malignancies","94380001",,"Secondary malignant neoplasm of lip"
,,"CAN_COD","Codes for relevant malignancies","94382009",,"Secondary malignant neoplasm of long bone of lower limb"
,,"CAN_COD","Codes for relevant malignancies","94206007",,"Secondary malignant neoplasm of blood vessel of thigh"
,,"CAN_COD","Codes for relevant malignancies","94176003",,"Secondary malignant neoplasm of areola of female breast"
,,"CAN_COD","Codes for relevant malignancies","94394000",,"Secondary malignant neoplasm of lymph nodes of head"
,,"CAN_COD","Codes for relevant malignancies","94234000",,"Secondary malignant neoplasm of buccal mucosa"
,,"CAN_COD","Codes for relevant malignancies","94235004",,"Secondary malignant neoplasm of cecum"
,,"CAN_COD","Codes for relevant malignancies","94236003",,"Secondary malignant neoplasm of calcaneus"
,,"CAN_COD","Codes for relevant malignancies","94205006",,"Secondary malignant neoplasm of blood vessel of shoulder"
,,"CAN_COD","Codes for relevant malignancies","94237007",,"Secondary malignant neoplasm of cardia of stomach"
,,"CAN_COD","Codes for relevant malignancies","94389000",,"Secondary malignant neoplasm of lumbar vertebral column"
,,"CAN_COD","Codes for relevant malignancies","94239005",,"Secondary malignant neoplasm of carotid body"
,,"CAN_COD","Codes for relevant malignancies","94376006",,"Secondary malignant neoplasm of left upper lobe of lung"
,,"CAN_COD","Codes for relevant malignancies","94207003",,"Secondary malignant neoplasm of blood vessel of thorax"
,,"CAN_COD","Codes for relevant malignancies","94240007",,"Secondary malignant neoplasm of carpal bone"
,,"CAN_COD","Codes for relevant malignancies","94241006",,"Secondary malignant neoplasm of cartilage of nose"
,,"CAN_COD","Codes for relevant malignancies","94242004",,"Secondary malignant neoplasm of cauda equina"
,,"CAN_COD","Codes for relevant malignancies","94243009",,"Secondary malignant neoplasm of central nervous system"
,,"CAN_COD","Codes for relevant malignancies","94244003",,"Secondary malignant neoplasm of central portion of female breast"
,,"CAN_COD","Codes for relevant malignancies","94245002",,"Secondary malignant neoplasm of cerebellum"
,,"CAN_COD","Codes for relevant malignancies","94238002",,"Secondary malignant neoplasm of carina"
,,"CAN_COD","Codes for relevant malignancies","94265009",,"Secondary malignant neoplasm of cornea"
,,"CAN_COD","Codes for relevant malignancies","94258001",,"Secondary malignant neoplasm of coccygeal body"
,,"CAN_COD","Codes for relevant malignancies","94259009",,"Secondary malignant neoplasm of coccyx"
,,"CAN_COD","Codes for relevant malignancies","94261000",,"Secondary malignant neoplasm of commissure of lip"
,,"CAN_COD","Codes for relevant malignancies","94262007",,"Secondary malignant neoplasm of common bile duct"
,,"CAN_COD","Codes for relevant malignancies","94263002",,"Secondary malignant neoplasm of conjunctiva"
,,"CAN_COD","Codes for relevant malignancies","94264008",,"Secondary malignant neoplasm of soft tissues"
